entryDate,id,isbn,author,name,year,publisher,pages,price,remark,status
17/06/15,IT-208,9.78938E+12,"Larry L. Peterson
Brace S. Davie",Comoputer Networks : A Systems Approach,"5th Edition
2012",Morgan Kaufmann,884,-,,A
17/06/15,IT-209,188066775,Bhushan Trivede,Computer Networks,2011 2Nd Edition,Oxford Higher Education,682,450/-,,A
17/06/15,IT-210,8181472063,"Larry L. Peterson
Brace S. Davie",Computer Networks : A Systems Approach,"3rd Edition
2003",Morgan Kaufmann,813,-,,A
17/06/15,IT-211,9.78812E+12,"Natalia Olifer
Victor Olifer","Computer Networks : Principles, Technologies and Protocols for Network Design",2009,Willey India,973,-,,A
17/06/15,IT-212,9.78818E+12,"Douglas E. Comer
M. S. Narayanan",Computer Networks and Internets with Internet Applications,"4th Edition
2009",Pearson Education,589,-,,A
17/06/15,IT-213,9.78813E+12,"Larry L. Peterson
Brace S. Davie",Computer Networks : A Systems Approach,"4th Edition
2007",Morgan Kaufmann,806,425,,A
17/06/15,IT-214,9.78813E+12,Charles E. Perkins,Adhoc Networking,2008,Pearson Education,370,-,,A
17/06/15,IT-215,9.78818E+12,"Vijay K. Garg
Joseph E. Wilkes",Principles and Applications of GSM,2008,Pearson Education,481,-,,A
17/06/15,IT-216,9.78818E+12,Nmani Subramaniam,Network Management : Principles and Practice,2008,Pearson Education,662,-,,A
17/06/15,IT-217,8120307801,"Dimitri Bertsekas
Robert Gallager",Data Networks,"2nd Edition
1996",PHI India,555,-,,A
17/06/15,IT-218,9.78813E+12,"Dimitri Bertsekas
Robert Gallager",Networking Complete,"3rd Edition
2010",Willey India,860,-,,A
17/06/15,IT-219,818147368X,"Larry L. Peterson
Brace S. Davie",Computer Networks : A Systems Approach,"3rd Edition
2004",Morgan Kaufmann,176,-,,A
17/06/15,IT-220,9.78815E+12,Williams Stallings,Networks Security : Essential Applications and Standards,"3rd Edition
2009",Pearson Education,409,-,,A
17/06/15,IT-221,8120322134,"Charlie Kaufmann
Radia Pertman
Mike Speciner",Network Security : Private Communication in a Public World,"2nd Edition
2006",PHI India,713,325/-,,A
17/06/15,IT-222,9.78813E+12,"John K. Ousterhout
Ken Jones",TCL and the TK Foolkit,"2nd Edition
2011",Pearson Education,773,925/-,,A
17/06/15,IT-223,8178670356,Buck Graham,"TCP/IP Addressing, Design and Optimizing 
IP Addressing Scheme","
2nd Edition
2001",Morgan Kaufmann,455,-,,A
17/06/15,IT-224,9.78813E+12,Williams Stallings,Computer Networking with Internet Protocols and Technology,2007,Pearson Education,660,-,,A
17/06/15,IT-225,9.78126E+12,"Behrouz A. Forouzan
Firouz Masharraf ",Computer Networks : A Top-Down Approach,2012,Tata MC Graw Hill,921,-,,A
17/06/15,IT-226,9.78812E+12,"S. Rajasekaran
G. A. Vijaylaxmi Pai","Neural Networks, Fuzzy Logic and Genetic Algorithms",2012,PHI India,439,325/-,,A
17/06/15,IT-227,9.78007E+11,Behrouz A. Forouzan,TCP/IP Protocol Suit,"4th Edition
2010",PHI India,979,-,,A
17/06/15,IT-228,9.78812E+12,Sudakshina Kundu,Fundamentals of Computer Networks,"2nd Edition
2008",PHI India,287,225,,A
17/06/15,IT-229,9.78813E+12,"Andrew S. Tenenbaum
David J. Wetherall",Computer Networks,"5th Edition
2012",Pearson Education,951,-,,A
17/06/15,IT-230,8122413412,"C. K. Sarkar
D. C. Sarkar",Optoelectronics and Fiber Optics Communication,2001,New Age International Publishers,374,-,,A
17/06/15,IT-231,9.78812E+12,Dimitri Bertsekas Robert Gallager,Data Networks,"2nd Edition
2009",PHI India,556,325/-,,A
17/06/15,IT-232,9.78813E+12,"James F. Kurose
Keith W. Ross",Computer Networking : A Top-Down Approach,"5th Edition
2012",Pearson Education,888,-,,A
17/06/15,IT-233,8177588788,"James F. Kurose
Keith W. Ross",Computer Networking : A Top-Down Approach Featuring The Internet,3rd Edition,Pearson Education,813,-,,A
17/06/15,IT-234,70486662,Behrouz A. Forouzan,Local Area Networks,2007,Tata MC Graw Hill,618,-,,A
17/06/15,IT-235,8120329988,Douglas E. Comer,"Internetworking with TCP/IP : Principles, Protocols and Architecture","5th Edition
Vol.-I
2006",PHI India,650,325/-,,A
17/06/15,IT-236,9.78812E+12,"W. Richard Stevens
Bill Fenne
Andrew M. Rudoff",UNIX Network Programming : The Socket Networking API,"3rd Edition
Vol.-I
2007",PHI India,991,375/-,,A
17/06/15,IT-237,8120307496,W. Richard Stevens,UNIX Network Programming,2000,PHI India,772,-,,A
17/06/15,IT-238,8178088282,"Kenneth C. Mansfield Jr.
James L. Antonakas",An Introduction to Computer Networking,2002,Pearson Education,596,-,,A
17/06/15,IT-239,8129702924,William Stallings,Computer Networking with Internet Protocols and Technology,2004,Pearson Education,642,295/-,,A
17/06/15,IT-240,812032269X,Joseph Davies,Understanding IPV6,2003,PHI India,498,395/-,,A
17/06/15,IT-241,9.78935E+12,"V. S. Bagad
I. A. Dhotre",Computer Networks,2012,Technical Publication,-,290,,A
17/06/15,IT-242,8177586556,"W. Richard Stevens
G. Gabrani","TCP/IP Illustrated
Vol.-I The Protocols",2008,Pearson Education,512,-,,A
17/06/15,IT-243,8178670275,"Michael J. Donahoo
Kenneth L. Calvert","The Pocket Guide to TCP/IP Sockets 
C Version",2001,Morgan Kaufmann,130,-,,A
17/06/15,IT-244,9.78812E+12,"Natalia Olifer
Victor Olifer","Computer Networks : Principles, Technologies and Protocols for Network Design",2009,Willey India,973,-,,A
17/06/15,IT-245,8120321758,Andrew S. Tenenbaum,Computer Networks,"4th Edition
2003",PHI India,891,250/-,,A
17/06/15,IT-246,9.78007E+12,Richard Deal,"CCNA
CISCO Certified Network Associate Study Guide ",2008,Tata MC Graw Hill,983,-,,A
17/06/15,IT-247,9.78812E+12,NIIT,Basics of Networking,2008,PHI India,290,-,,A
17/06/15,IT-248,8177584758,"Fred Halsall
Lingana Gouda Kulkarni",Computer Networking and The Internet,"5th Edition
2007",Pearson Education,678,-,,A
17/06/15,IT-249,8120310411,Uyless Black,"Computer Networks : Protocols, Stsndards and Interfaces","2nd Edition
2003",PHI India,436,225,,A
17/06/15,IT-250,812326539,"Pallapa Venkataram
Sunil Kumar S. Manui",Communication Nprotocols Engineering,2004,PHI India,284,250/-,,A
18/06/15,IT-251,8178670275,"Michael J. Donahoo
Kenneth Calvert",The Pocket Guide to TCP/IP Sockets C Version,2001,Morgan Kaufmann,130,-,,A
18/06/15,IT-252,8120325532,"Douglas E. Comer
David L. Stevens","Internetworking with TCP/IP 
Vol.-III","2nd Edition
2004",PHI India,519,350/-,,A
18/06/15,IT-253,817808340X,W. Richard Stevens,"TCP/IP Illustrated 
Vol.-III",2004,Pearson Education,328,-,,A
18/06/15,IT-254,,,Computer Networks Notes,-,,-,-,,A
18/06/15,IT-255,,,Computer Networks Fall 2002,-,,214,-,,A
18/06/15,IT-256,,,TCP/IP Tutorial and Technical Overview IBM,-,,715,-,,A
18/06/15,IT-257,,,"TCP/IP Tutorial and Technical Overview
Vol.-II IBM Red Book",1998,,719,-,,A
18/06/15,IT-258,,,Computer Networks : Solution Manual,4th Edition,,-,-,,A
18/06/15,IT-259,9.78126E+12,Ranjan Parekh,Principles of Multimedia,"2nd Edition
2013",Tata MC Graw Hill,825,-,,A
18/06/15,IT-260,9.78818E+12,"A. P. Godse
D. A. Godse",Computer Graphics and Multimedia,"1st Eition
2010",Technical Publication,-,350/-,,A
18/06/15,IT-261,9.78126E+12,Ranjan Parekh,Principles of Multimedia,"2nd Edition
2013",Tata MC Graw Hill,825,-,2nd Copy,A
18/06/15,IT-262,9.78813E+12,"Michael Duck
Richard Read",Data Communications and Computer Networks,"2nd Edition
2009",Pearson Education,415,-,,A
18/06/15,IT-263,9.78007E+12,"R. P. Singh
S. D. Sapre",Communication Systems Analog and Digital,"2nd Edition
2008",Tata MC Graw Hill,584,-,,A
18/06/15,IT-264,8131717143,"Ian A. Glover
Peter M. Grant",Digital Communication,"2nd Edition
2008",Pearson Education,1000,-,,A
18/06/15,IT-265,9.78813E+12,Blake,Electronic Communication Systems,2nd Edition,Thomson Delmar,985,-,,A
18/06/15,IT-266,8173191794,Larry Haghes,Introduction to Data Communications : A Practical Approach,1997,Narosa Publishing House,502,-,,A
18/06/15,IT-267,9.78126E+12,"Rajkumar Buyya Christian Vecchiola
S. Thamarai Selvi",Mastering Cloud Computing,2013,Tata MC Graw Hill,-,-,,A
18/06/15,IT-268,8120326482,Brijendra Singh,Data Communication and Computer Networking,2004,PHI India,303,225,,A
18/06/15,IT-269,70634149,Behrouz A. Forouzan,Data Communications and Networking,"4th Edition
2006",Tata MC Graw Hill,1134,-,,A
18/06/15,IT-270,70499357,Behrouz A. Forouzan,Data Communications and Networking,"2nd Edition
2005",Tata MC Graw Hill,944,-,,A
18/06/15,IT-271,9.78935E+12,"V. S. Bagad
I. A. Dhotre",Data Communication and Computer Networking,2012,Technical Publication,-,125,,A
18/06/15,IT-272,9.78813E+12,William J. Begda,Data Communications from Basics to Broadband,"4th Edition
2012",Pearson Education,379,-,,A
18/06/15,IT-273,9.78007E+12,Achyut S. Godbole Atul Kahate,Data Communications and Networks,2009,Tata MC Graw Hill,503,-,,A
18/06/15,IT-274,8126507659,"James Irvine
David Harle",Data Communications and Networks,2006,Willey India,268,-,,A
18/06/15,IT-275,8131709302,Wayne Tomasi,Introduction to Data Communications and Networking,2007,Pearson Education,985,-,,A
18/06/15,IT-276,9.78126E+12,Forouzan,Data Communications and Networking SE,2013,Tata MC Graw Hill,1226,-,,A
18/06/15,IT-277,9.78813E+12,Williams Stallings,Data and Computer Communications,"8th Edition
2009",Pearson Education,834,-,,A
18/06/15,IT-278,9.78007E+12,Martin C. Brown,The Complete Reference Perl,"2nd Edition
2007",Tata MC Graw Hill,1207,-,,A
18/06/15,IT-279,812032093X,Microsoft Net,Developing Web Applications with Microsoft,"2nd Edition
2002",PHI India,756,695,,A
18/06/15,IT-280,198066228,Uttam K. Roy,Web Technologies,2012,Oxford Higher Education,758,410,,A
18/06/15,IT-281,9.78126E+12,"Achyut Godbole
Atul Kahate",Web Technologies,"3rd Eition
2013",Tata MC Graw Hill,593,-,,A
18/06/15,IT-282,9.78007E+12,Timothy A. budd,Exploring Python,2011,Tata MC Graw Hill,278,-,,A
18/06/15,IT-283,9.78813E+12,Toby Donaldson,Visual Quickstart Guide Python,"2nd Edition
2011",Pearson Education,185,-,,A
18/06/15,IT-284,9.78813E+12,Jeffrey C. Jackson,Web Technologies : A Computer Science Perspective,2009,Pearson Education,588,-,,A
18/06/15,IT-285,9.78812E+12,"Paul Deitel
Harvey Deitel",C++ How to Program,"8th Edition
2012",PHI India,1069,695,,A
18/06/15,IT-286,9.78813E+12,Eilie Quigley,Perl by Example,"4th Edition
2009",Pearson Education,971,-,,A
18/06/15,IT-287,8120305965,"Brian W. Kernighan
Demmis M. Ritchie",The C Programming Language,"2nd Edition
2004",PHI India,272,95,,A
18/06/15,IT-288,9.78813E+12,Bruce Eckel,"Thinking in C++ : Introduction to Standard C++ 
Vol. - I","2nd Edition
2011",Pearson Education,814,-,,A
18/06/15,IT-289,9.78007E+12,E. Balagurusamy,Object oriented Programming with C++,"5th Edition
2011",Tata MC Graw Hill,563,-,,A
18/06/15,IT-290,8185623228,Robert Lafore,Object Oriented Programming in Turbo C++,2003,Galgotia Publications,739,279,,A
18/06/15,IT-291,9.78812E+12,Arpita Gopal,Magnifying C,2009,PHI India,476,325/-,,A
18/06/15,IT-292,8178085852,Ashok N. Ramthane,Programming with ANSI and Turbo C,2004,Pearson Education,594,-,,A
18/06/15,IT-293,9812358838,Donal E. Knuth,The Art of Computer Programming ,"Vol.-II
2000",Pearson Education,762,-,,A
18/06/15,IT-294,9.78813E+12,Donal E. Knuth,The Art of Computer Programming ,Vol.- IVA,Pearson Education,883,-,,A
18/06/15,IT-295,1282318635,Microsoft,Microsoft Visual Basic 6.0 in Action,1998,MicroTech Publications,218,-,,A
18/06/15,IT-296,9.78813E+12,"Stephen C. Perry
Atul Kahate
Stephen Walther
Joseph Mayo",Essential of .Net and Related Technologies,2009,Pearson Education,382,-,,A
18/06/15,IT-297,9.78007E+12,E. Balagurusamy,Pragramming in ANSI C 4E,2007,Tata MC Graw Hill,549,-,,A
18/06/15,IT-298,9.78813E+12,"Stanley B. Lippman
Jasee Lajoie
Barbara E. Moo",C++ Primer,"4th Edition
2010",Pearson Education,885,-,,A
18/06/15,IT-299,8120316681,Tom Swan,GNU C++ for Linux,2000,PHI India,831,425,,A
18/06/15,IT-300,9.78007E+12,"James P. Cohoon
Jack W. Davidson",Programming in C==,"3rd Edition
2008",Tata MC Graw Hill,948,-,,A
19/06/15,IT-301,9.78007E+12,"K. R. Venugopal
Rajkumar
T. Ravishankar",Mastering C++,2007,Tata MC Graw Hill,804,-,,A
19/06/15,IT-302,9.78813E+12,Ashok N. Kamthane,Object Oriented Programming with ANSI and Turbo C++,2009,Pearson Education,712,-,,A
19/06/15,IT-303,8129704722,"M. P. Bhave
S. A. Patekar",Object oriented Programming with C++,2005,Pearson Education,483,-,,A
19/06/15,IT-304,9.78813E+12,Scott Meyers,Effective C++,"3rd Edition
2009",Pearson Education,297,-,,A
19/06/15,IT-305,812032613X,Pooranchandra Saarang,Object Oriented Programming with C++,2004,PHI India,341,225,,A
19/06/15,IT-306,,Indira Natarajan,Comprehensive C++,2002,Galgotia Publications,312,110,,A
19/06/15,IT-307,9.78813E+12,Robert Lafore,Object Oriented Programming in C++,"4th Edition
2011",Pearson Education,1012,-,,A
19/06/15,IT-308,9.78007E+12,E. Balagurusami,Object oriented Programming with C++,"5th Edition
2011",Tata MC Graw Hill,563,-,,A
19/06/15,IT-309,9.78813E+12,"Behrouz A. Forouzan
Richard F. Gillberg",Computer Science : A Structured Approach using  c++,2004,CENGAGE Learning,1022,-,,A
19/06/15,IT-310,8173194149,"Nell Dale
Chip Weems
Mark Headington",Introduction to Java and Software Design,2001,Narosa Publishing House,771,325/-,,A
19/06/15,IT-311,9.78126E+12,"Herbert Schildt
Dale Skrien",Java Fundamentals : A Comprehensive Introduction,2013,Tata MC Graw Hill,1034,-,,A
19/06/15,IT-312,019806368X,"Sachin malhotra
Saurabh Choudhary",Programming in Java,2011,Oxford Higher Education,576,350/-,,A
19/06/15,IT-313,9.78813E+12,"M. P. Bhave
S. A. Patekar",Programming with Java,2012,Pearson Education,708,-,,A
19/06/15,IT-314,9.78813E+12,"Michael R. Blaha
James R. Rumbaug","Object Oriented Modeling and Design with UML, UML2","2nd Edition
2011",Pearson Education,477,-,,A
19/06/15,IT-315,9.78812E+12,M. T. Samashekaran,Problem Solving with C,2009,PHI India,475,275,,A
19/06/15,IT-316,70411832,Herbert Schildt,The Complete Reference C,"4ht Edition
2000",Tata MC Graw Hill,805,-,,A
19/06/15,IT-317,9.78007E+12,Herbert Schildt,The Complete Reference C++,"4th Edition
2003",Tata MC Graw Hill,1023,-,,A
19/06/15,IT-318,9.78813E+12,Stephen Prata,C++ Primer Plus,6th Edition,Pearson Education,1420,-,,A
19/06/15,IT-319,8131705218,Bjarne Stroustrup,The C++ Programming Languages,"3rd Edition
2007",Pearson Education,1019,-,,A
19/06/15,IT-320,9.78812E+12,"Paul Deitel
Harvey Deitel",C++ How to Program,"7th Editioni
2010",PHI India,1068,695,,A
19/06/15,IT-321,9.78813E+12,"Cay Horstmann
Timothy Budd",Big C++,2007,Willey India,1186,499,,A
19/06/15,IT-322,8181472012,UPTEC,Programming and Problem Solving Through C,2004,Elsevier,340,-,,A
19/06/15,IT-323,8128001108,P.B. Kofur,Computer Concepts and C Programming,2007,Wipro Edition,501,-,,A
19/06/15,IT-324,9.78812E+12,V. Rajaraman,Computer Programming in C,2009,PHI India,363,195/-,,A
19/06/15,IT-325,9.78813E+12,"BruceEckel
Chuck Allison","Thinking in C++ : Vol. - II
Practical and Programming",2011,Pearson Education,824,-,,A
19/06/15,IT-326,9.78818E+12,Deepak T. Mane,Principles of Programming Languages,2011,Tech Max,-,195/-,,A
19/06/15,IT-327,8120305795,"Clovis L. Tondo
Scotte E. Gimpel",The C Answer Book,"2nd Edition
2004",PHI India,208,89,,A
19/06/15,IT-328,8178087383,"James Rumbaug
Micheal Blaha
Williams Premerlani",Object Oriented Modeling and Design,2003,Pearson Education,500,-,,A
19/06/15,IT-329,9.78813E+12,"Grady Booch
Robert A. Maksimchuk",Object Oriented Analysis and Design with Applications,3rd Edition,Pearson Education,691,-,,A
19/06/15,IT-330,,Microsoft,Visual Studio .NET Academic Students Tool Guide,2001,Microsoft,79,-,,A
19/06/15,IT-331,,Microsoft,Microsoft Windows 2000 Server,1999,Microsoft,137,-,,A
19/06/15,IT-332,,"Brian Gough
M. Stallman",An Introduction to GCC,-,-,116,-,,A
19/06/15,IT-333,,,C/C++ Development User Guide,-,-,-,-,Binded,A
19/06/15,IT-334,,Allen Downey,Think Python,2008,Green Tea Press,210,-,Binded,A
19/06/15,IT-335,,,A Byte of Python,-,-,118,-,Binded,A
19/06/15,IT-336,,Dave Marshall,Programming in C UNIX System Calls and Subroutine Using C,1999,-,-,-,Binded,A
19/06/15,IT-337,,William Von Hagen,The Definite Guide to GCC,2nd,-,550,-,Binded,A
19/06/15,IT-338,,Peter Miller,C++ Language Tutorials,1996,-,-,-,Binded,A
19/06/15,IT-339,,"Richard M. Stallman
Ronald McGrath
Paul Smith",GNU Make,2002,-,-,-,Binded,A
19/06/15,IT-340,,Bruce Eckel,Thinking in C++,2nd,PHI India,814,-,Binded,A
19/06/15,IT-341,9.78007E+12,T. L. Singal,Wireless Communications,2012,Tata MC Graw Hill,669,-,,A
19/06/15,IT-342,9.78812E+12,P. Muthuchiddambara Nathan,Wireless Communications,2008,PHI India,219,195/-,,A
19/06/15,IT-343,9.78813E+12,"Bruce A. Balck
Fredrick C. Berry",Introduction to Wireless Systems,2009,Pearson Education,507,-,,A
19/06/15,IT-344,8177583557,Williams Stallings,Wireless Communications and Networks,2006,Pearson Education,598,-,,A
19/06/15,IT-345,9.78007E+12,"AlberoleonGarcia
Indra Widjaja",Communication Networks : Fundamental Concepts and Key Architectures,"2nd Edition
2004",Tata MC Graw Hill,900,-,,A
19/06/15,IT-346,8120314727,Dr. Kamilo Feher,Wireless Digital Communications,2003,PHI India,524,275,,A
19/06/15,IT-347,9.78813E+12,Yl-Bang LinImrich Chlamtac,wireless and Mobile Networks Architectures,2008,Willey India,532,-,,A
19/06/15,IT-348,9.78126E+12,Ron Price,Fundamentals of Wireless Networking,2012,Tata MC Graw Hill,641,-,,A
19/06/15,IT-349,9.78813E+12,Vijay K. Garg,Wireless Communications and Networking,2009,Morgan Kaufmann,821,-,,A
19/06/15,IT-350,9.78812E+12,"Kaven Pahlavan
Prashant Krishnamurthy",Principles of Wireless Networks,2012,PHI India,584,395/-,,A
22/06/15,IT-351,8131501353,Dhamaprakash Agrawal,Introduction to Wireless and Mobile,2007,Thomson,498,-,,A
22/06/15,IT-352,9.78813E+12,Roy Blake,Wireless Communications Technology,2007,Thomson,604,-,,A
22/06/15,IT-353,8177224689,"Uwe Hansman
Lather Merk
Thomas Staber",Principles of Mobile Computing,"2nd Edition
2004",Springer International,448,349,,A
22/06/15,IT-354,9.78007E+12,"Sumit Kasera
Nishit Narang
A. P. Priyanka",2.5 G Mobile Networks : GPRS and EDGE,2008,Tata MC Graw Hill,252,-,,A
22/06/15,IT-355,70621063,"Nishit Narang
Sumit Kasera",2G Mobile Networks GSM and HSCSD,2007,Tata MC Graw Hill,351,-,,A
22/06/15,IT-356,8178086468,"Kaveh Pehlavan
Prashant Krishnamurthy",Principles of Wireless Networks,2003,Pearson Education,584,195/-,,A
22/06/15,IT-357,70588074,"Asoke K. Talukder
Roopa R. Yavagal",Mobile Computing,2005,Tata MC Graw Hill,668,-,,A
22/06/15,IT-358,195686772,Rajkamal,Mabile Computing,2007,Oxford Higher Education,582,325/-,,A
22/06/15,IT-359,9.78813E+12,"Mark Grayson
Scott Wainner",IP Design for Mobile Networks,2011,Cisco Press,531,-,,A
22/06/15,IT-360,70603642,"Frank Adelstein
Sandeep K.S. Gupta
Loren Schwiebert",Fundamentals of Mobile and Pervasive Computing,2005,Tata MC Graw Hill,402,-,,A
22/06/15,IT-361,9.78813E+12,Dharma Prakash Agrawal,Introduction of Wireless and Mobile Systems,"3rd Edition
2012",CENGAGE Learning,572,-,,A
22/06/15,IT-362,8129707594,"Jochen Burkhar
Dr. Horst Henn
Stefan Hepper",Pervasive Computing,2005,Pearson Education,410,-,,A
22/06/15,IT-363,9.78813E+11,James D. Solomon,Mobile IP : The Internet Unplugged,2008,Pearson Education,350,-,,A
22/06/15,IT-364,9.78818E+12,"Uwe Hansmann
Lothar Merk
Thomas Stober",Principles of Mobile Computing,2nd Edition,Springer International,448,349,,A
22/06/15,IT-365,9.78007E+12,"Himanshu Dwivedi
Chris Clark
David Qhiel",Mobile Application Security,2012,Tata MC Graw Hill,408,-,,A
22/06/15,IT-366,9.78813E+12,"C. Siva Rammurthy
B. S. Manoj",ADHOC Wireless Networks,2011,Pearson Education,816,-,,A
22/06/15,IT-367,9.78813E+12,Kumkum Garg,Mobile Comoputing Theory and Practice,2010,Pearson Education,218,-,,A
22/06/15,IT-368,,Sung Ju Lee,Routing and Multicasting Strategies in Wireless Mobile ADHOC Networks,2000,,260,-,"Photocopy
Binding",A
22/06/15,IT-369,,Charles E. Perkins,ADHOC on Demand Distance Vector Routing,,,,-,"Photocopy
Binding",A
22/06/15,IT-370,7123151X,"Ramakrishanan
Gen Ke",Database Management Systems,"3rd Edition
2003",Tata MC Graw Hill,1065,-,,A
22/06/15,IT-371,8178671190,"Petrick O'Neil
Elizabeth O'Neil","Database Principles, Programming and Performance","2nd Edition
2002",Morgan Kaufmann,870,-,,A
22/06/15,IT-372,9.78007E+12,"Abraham Silberschatz
Henry F. korth",Database System Concepts,"6th Edition
2011",Tata MC Graw Hill,1349,-,,A
22/06/15,IT-373,8181470494,"Jiawei Han
Micheline Kamber",Data Mining Concepts and Technologies,2004,Morgan Kaufmann,550,-,,A
22/06/15,IT-374,8178083671,"Efraim Turban
Jay E. Aronson",Decision Support Systems and Intelligent,"6th Edition
2003",Pearson Education,867,-,,A
22/06/15,IT-375,8131709485,Jefferey A. hoffer,Modern Database Management,"8th Edition
2008",Pearson Education,624,-,,A
22/06/15,IT-376,,Allen Simpson,Understanding dbase III,1986,B.P.B. Publications,300,48,,A
22/06/15,IT-377,8129702282,"Remez Elmasari
Shamkant B. Navathe",Fundamentals of Database Systems,"4th Edition
2004",Pearson Education,1030,-,,A
22/06/15,IT-378,,RGTU,Database Management System,2011,TBP,,170,,A
22/06/15,IT-379,9.78126E+12,"C.L. Liu
D. P. Mahapatra",Elements of Discrete Mathematics,"4th Edition
2013",Tata MC Graw Hill,627,-,,A
22/06/15,IT-380,9.7812E+11,Narsingh Deo,Graph Theory,2007,PHI India,478,225,,A
22/06/15,IT-381,9.78007E+12,Kamala Krithivasan,Discrete Mathematics and Its Applications,"7th Edition
2011",Tata MC Graw Hill,843,-,,A
22/06/15,IT-382,,R. D. Sharma,Mathematics,2005,Dhanpat Rai Publications,,195/-,,A
22/06/15,IT-383,8174501258,NCERT,Mathematics,2005,NCERT,1002,90,,A
22/06/15,IT-384,8174501800,"Anup Rajput
P.K. Jain
Hukum Singh",Mathematics,2003,NCERT,532,95,,A
22/06/15,IT-385,9812531114,James L. Johnson,Probabilility and Stastics for Computer Science,2004,Willey India,744,-,,A
22/06/15,IT-386,9814126047,Kishor S. Trivedi,"Probability and Stastics with Reliability, Queing and Computer Science Applications","2nd Edition
2004",Willey India,830,-,,A
22/06/15,IT-387,,R. D. Sharma,Mathematics,2005,Dhanpat Rai Publications,,155,,A
22/06/15,IT-388,,R. D. Sharma,Mathematics,2004,Dhanpat Rai Publications,,145,,A
22/06/15,IT-389,9.78813E+12,Babu Ram,Engineering Mathematics,2010,Pearson Education,,-,,A
22/06/15,IT-390,8131711242,Glyn James,Advanced Modern Engineering Mathematics,"3rd Edition
2007",Pearson Education,,972,,A
22/06/15,IT-391,8177583611,Sheldon Ross,A First Course in Probability,"6th Edition
2006",Pearson Education,528,-,,A
22/06/15,IT-392,8120801644,Jagadguru Swami Shri Bharati Krsna Tirathaji Maharaja,Vedic Mathematics,2002,Motilal Banarsidad publications,355,125,,A
22/06/15,IT-393,876926111,S. S. Sastry,Introductory Meethods of Numerical Analysis ,"2nd Edition
1991",PHI India,296,45,,A
22/06/15,IT-394,9.78007E+12,Peyton Z. Peebles Jr.,Probability Random Variables and Random Signal Principles,2002,Tata MC Graw Hill,462,-,,A
22/06/15,IT-395,8120350086,Kishor S. Trivedi,IT-386,2004,PHI India,624,150,,A
22/06/15,IT-396,9.78813E+13,William Feller,An Introduction to Probability Theory and Its Applications,"3rd Edition
2009",Willey India,509,-,,A
22/06/15,IT-397,818479718,Arnold O. Allen,IT-386,"2nd Edition
2005",Academic Press,740,-,,A
22/06/15,IT-398,9.78007E+12,"C.L. Liu
D. P. Mahapatra",Elements of Discrete Mathematics : A Computer Oriented Approach,"3rd Edition
2008",Tata MC Graw Hill,547,-,,A
22/06/15,IT-399,9.78007E+12,Kenneth Rosen,Discrete Mathematics and Its Appplications,"6th Edition
2007",Tata MC Graw Hill,787,-,,A
22/06/15,IT-400,8174091157,Dr. B. S. Grewal,Higher Engineering Mathematics,2001,Hindustan Offset Press,1227,240,,A
23/06/15,IT-401,9.78813E+12,"Geir Agnarsson
Raymond Greenlow",Graph Theory,2012,Pearson Education,464,-,,A
23/06/15,IT-402,,Barnard V. Zandy,Cliffs Quick Review Calculus,,Hungry Minds,124,-,,A
23/06/15,IT-403,,Allen b. Downey,"Think Stats, Probability and Statistics for Programmers",2011,Green Tea Press,130,-,,A
23/06/15,IT-404,,"L. Lovasz
K. Vesztergombi",Discrete Mathematics,1979,,139,-,,A
23/06/15,IT-405,,Kishor S. Trivedi,Solution Manual For Probability and Statistics with Reliability,"2nd Edition
Vol.-2",,,-,,A
23/06/15,IT-406,,Kishor S. Trivedi,Solution Manual For Probability and Statistics with Reliability,"2nd Edition
Vol.-1",,,-,,A
23/06/15,IT-407,8120322010,R. M. Somasundaram,Discrete Mathematical Structures,2006,PHI India,271,175/-,,A
23/06/15,IT-408,230322301,J. K. Sharma,Discrete Mathematics,"3rd Edition
2013",Trinity Press,582,345,,A
23/06/15,IT-409,9.78812E+12,Kolman Busby Ross,Discrete Mathematical Structures,"6th Edition
2009",PHI India,522,375/-,,A
23/06/15,IT-410,9.78812E+12,"M. Chandrashekaran
M. Umaparvathi",Discrete Mathematics,2010,PHI India,804,425,,A
23/06/15,IT-411,81431201511,Richard Bronson,Matrix Methods : An Introduction,"2nd Edition
1991",Academic Press,503,395/-,,A
23/06/15,IT-412,70486581,"Athanasios Papoulis
S. Unnikrishna Pillai",Probability Random Variables and Stochastic Processes,"4th Edition
2006",Tata MC Graw Hill,852,-,,A
23/06/15,IT-413,818478878,Thomas Koshy,Discrete Mathematics with Applications,2005,Academic Press,1045,-,,A
23/06/15,IT-414,7043476X,C. L. Liu,Elements of Discrete Mathematics,"2nd Edition
2006",Tata MC Graw Hill,433,-,,A
23/06/15,IT-415,8181477324,Thomas Koshy,Elementry Number Theory with Applications,2002,Academic Press,716,-,,A
23/06/15,IT-416,8131708411,"Ronald L. Graham
Donald E. Knuth",Concrete Mathematics,"2nd Edition
2007",Pearson Education,643,-,,A
23/06/15,IT-417,70474281,Peyton Z. Peebles Jr.,"Probability, Random Variables and Random Signal Principles","4th Edition
2006",Tata MC Graw Hill,462,-,,A
23/06/15,IT-418,9.78813E+12,Richard A. Brualdi,Introductory Combinatorics,"4th Edition
2008",Pearson Education,630,-,,A
